RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,2,Ryan Armour,63,72.73,600,825
2,3,Jim Furyk,54,72.07,511,709
3,4,Boo Weekley,75,71.67,731,1020
4,5,Chez Reavie,98,71.4,946,1325
5,6,Brian Stuard,93,71.32,868,1217
6,7,Francesco Molinari,75,70.14,707,1008
7,8,William McGirt,89,69.96,815,1165
8,9,Graeme McDowell,56,69.87,545,780
9,10,Zac Blair,105,69.7,964,1383
10,11,Søren Kjeldsen,58,69.21,472,682
11,12,Jim Herman,77,69.02,724,1049
12,14,Ken Duke,77,68.62,680,991
13,13,Kyle Stanley,104,68.55,957,1396
14,16,Vaughn Taylor,90,68.28,805,1179
15,17,Steve Wheatcroft,51,68.24,447,655
16,18,Ben Crane,86,67.97,749,1102
17,19,Ryan Moore,82,67.9,751,1106
18,20,Spencer Levin,89,67.82,805,1187
19,15,Kevin Kisner,105,67.76,929,1371
20,21,Russell Knox,75,67.62,664,982
21,22,Steven Alker,69,67.54,595,881
22,23,Zach Johnson,81,67.53,728,1078
23,24,Chad Campbell,97,67.21,910,1354
24,25,Alex Cejka,85,67.19,721,1073
25,26,Keegan Bradley,104,66.78,951,1424
26,27,David Hearn,93,66.75,791,1185
27,28,Roberto Castro,70,66.35,631,951
28,29,Webb Simpson,102,66.26,915,1381
29,30,K.J. Choi,72,66.23,610,921
30,31,Kevin Streelman,90,66.01,810,1227
31,32,Matt Kuchar,95,65.94,846,1283
32,33,Richy Werenski,81,65.92,681,1033
33,34,Shane Lowry,52,65.84,451,685
34,35,D.A. Points,68,65.83,626,951
35,36,Chris Stroud,67,65.7,542,825
36,37,Tim Wilkinson,64,65.68,530,807
37,38,Martin Laird,83,65.66,761,1159
38,39,Brian Gay,82,65.47,713,1089
39,40,Emiliano Grillo,90,65.44,797,1218
40,41,Lucas Glover,93,65.37,821,1256
41,42,Kyle Reifers,96,65.15,800,1228
42,43,J.J. Spaun,92,65.11,782,1201
43,44,Rory Sabbatini,71,64.91,590,909
44,45,Rick Lamb,54,64.81,453,699
45,46,Sam Saunders,76,64.69,632,977
46,48,Brett Stegmaier,78,64.66,686,1061
47,50,Jonathan Randolph,68,64.25,566,881
48,T51,C.T. Pan,88,64.2,771,1201
49,T51,Paul Casey,94,64.13,808,1260
50,53,John Huh,92,64.09,787,1228
51,55,Chris Kirk,89,63.93,741,1159
52,47,Rickie Fowler,78,63.91,680,1064
53,56,Scott Brown,95,63.89,812,1271
54,49,Jason Dufner,89,63.76,732,1148
55,58,Graham DeLaet,82,63.68,675,1060
T56,T59,Daniel Summerhays,100,63.67,836,1313
T56,T59,Jason Bohn,75,63.67,631,991
T56,T59,Ben Martin,86,63.67,701,1101
T56,T59,David Lingmerth,79,63.67,666,1046
60,57,Russell Henley,99,63.66,862,1354
61,63,Miguel Angel Carballo,63,63.61,507,797
62,64,Brandt Snedeker,53,63.58,447,703
63,65,Hunter Mahan,73,63.4,627,989
64,66,Julián Etulain,68,63.34,558,881
65,70,Adam Hadwin,98,63.2,864,1367
66,67,Johnson Wagner,71,63.18,556,880
67,68,James Hahn,96,63.14,848,1343
68,69,Peter Malnati,91,63.1,749,1187
69,72,Brendan Steele,89,62.88,742,1180
70,71,Brian Harman,104,62.8,878,1398
71,73,Danny Lee,93,62.72,779,1242
72,74,Geoff Ogilvy,80,62.59,629,1005
73,75,J.J. Henry,92,62.58,751,1200
74,76,Ian Poulter,72,62.55,593,948
75,78,Sergio Garcia,65,62.33,541,868
76,77,Pat Perez,93,62.0,783,1263
77,79,Fabián Gómez,61,61.81,513,830
78,80,Michael Thompson,60,61.72,482,781
79,82,Nick Taylor,97,61.66,817,1325
80,83,Blayne Barber,77,61.62,610,990
81,81,Patrick Cantlay,52,61.47,410,667
82,84,Rafa Cabrera Bello,63,61.43,516,840
83,85,Louis Oosthuizen,69,61.29,532,868
84,86,Kevin Na,86,61.26,702,1146
85,87,Troy Merritt,82,60.98,647,1061
86,88,Ryan Blaum,100,60.94,816,1339
87,89,Rod Pampling,71,60.83,604,993
88,90,Brett Drewitt,57,60.73,450,741
89,91,Sean O'Hair,84,60.61,711,1173
90,92,Billy Hurley III,80,60.57,679,1121
91,93,Shawn Stefani,72,60.53,575,950
92,94,Mark Hubbard,81,60.41,624,1033
93,95,Morgan Hoffmann,92,60.39,741,1227
94,96,Hudson Swafford,94,60.27,757,1256
95,97,Cameron Percy,71,60.18,547,909
T96,T98,Bud Cauley,92,60.1,738,1228
T96,T98,Jonas Blixt,74,60.1,586,975
98,101,Billy Horschel,88,60.07,722,1202
99,102,Kelly Kraft,75,60.06,594,989
100,100,Daniel Berger,91,60.03,724,1206
101,104,Jordan Spieth,85,60.0,657,1095
102,103,Mark Anderson,54,59.97,436,727
103,106,Anirban Lahiri,72,59.82,603,1008
104,107,Greg Chalmers,75,59.8,595,995
105,108,Tyrone Van Aswegen,105,59.79,809,1353
106,109,Michael Kim,94,59.71,750,1256
107,110,Scott Piercy,70,59.68,558,935
108,111,Sung Kang,104,59.65,850,1425
109,112,Mackenzie Hughes,106,59.63,870,1459
110,113,Harold Varner III,101,59.61,825,1384
111,114,Robert Garrigus,78,59.52,597,1003
112,115,Bubba Watson,71,59.5,526,884
113,116,J.T. Poston,95,59.44,721,1213
114,118,Jason Kokrak,95,59.32,786,1325
T115,105,Gary Woodland,94,59.31,736,1241
T115,119,Chad Collins,66,59.31,513,865
117,121,Bill Haas,92,59.27,703,1186
118,124,Xander Schauffele,96,58.82,757,1287
119,117,Kevin Chappell,95,58.78,740,1259
120,122,Jon Rahm,90,58.66,681,1161
121,120,Hideki Matsuyama,83,58.61,626,1068
122,123,Charley Hoffman,112,58.56,886,1513
123,125,Branden Grace,70,58.47,518,886
124,126,Bryson DeChambeau,91,58.34,724,1241
125,136,Justin Rose,66,58.32,522,895
126,128,Brian Campbell,55,58.2,415,713
127,129,Tag Ridings,67,58.18,480,825
128,T130,Cameron Tringale,89,58.15,674,1159
129,127,Marc Leishman,94,57.94,730,1260
130,133,Wesley Bryan,95,57.87,735,1270
131,134,Retief Goosen,52,57.79,371,642
132,135,Ryan Palmer,61,57.76,428,741
133,132,Jhonattan Vegas,95,57.67,729,1264
134,137,Bryce Molder,74,57.6,595,1033
135,138,Robert Streb,98,57.58,756,1313
136,139,Tony Finau,106,57.53,837,1455
137,140,Jamie Lovemark,98,57.39,769,1340
138,141,Patrick Reed,107,57.18,800,1399
139,142,Byeong Hun An,77,57.17,574,1004
140,143,Matt Jones,64,57.09,447,783
141,144,Scott Stallings,81,57.04,612,1073
142,145,Si Woo Kim,80,57.03,600,1052
143,146,Dustin Johnson,77,56.97,560,983
144,147,Adam Scott,58,56.65,460,812
145,148,Jimmy Walker,68,56.59,485,857
146,149,Dominic Bozzelli,69,56.57,512,905
147,150,Luke Donald,50,56.5,378,669
148,151,Brad Fritsch,56,56.4,410,727
149,152,Cameron Smith,86,56.26,643,1143
150,153,Ernie Els,52,56.2,408,726
151,154,Nicholas Lindheim,58,56.19,440,783
152,156,Grayson Murray,94,56.01,704,1257
153,157,Tom Hoge,54,55.99,360,643
154,155,Brooks Koepka,88,55.8,625,1120
155,159,Andres Gonzales,73,55.75,538,965
156,160,Nick Watney,75,55.67,535,961
157,161,Luke List,102,55.63,761,1368
158,162,Derek Fathauer,81,55.49,581,1047
159,163,Whee Kim,74,55.37,557,1006
160,164,Stewart Cink,93,55.13,715,1297
161,165,Rory McIlroy,51,55.06,370,672
T162,170,Justin Thomas,86,55.05,610,1108
T162,166,Phil Mickelson,85,55.05,616,1119
164,167,Smylie Kaufman,76,54.79,543,991
165,168,Cody Gribble,79,54.77,591,1079
166,169,Charles Howell III,86,54.72,626,1144
167,171,Trey Mullinax,88,54.59,625,1145
168,173,Sebastián Muñoz,51,54.45,373,685
169,174,Camilo Villegas,76,54.37,548,1008
170,175,Ricky Barnes,100,54.32,698,1285
171,176,Charl Schwartzel,63,54.31,454,836
172,172,Jason Day,71,53.94,500,927
173,177,Seamus Power,86,53.27,594,1115
174,178,Gonzalo Fernandez-Castaño,63,53.26,417,783
175,179,Seung-Yul Noh,91,53.09,645,1215
176,180,Patrick Rodgers,76,52.9,547,1034
177,181,Martin Flores,88,52.79,597,1131
178,182,Patton Kizzire,84,52.54,558,1062
179,183,Kevin Tway,96,52.48,646,1231
180,184,Brandon Hagy,85,52.46,565,1077
181,185,Aaron Baddeley,61,52.25,418,800
182,186,Carl Pettersson,63,51.94,428,824
183,187,Ryo Ishikawa,56,51.92,405,780
184,188,Ryan Brehm,83,51.9,559,1077
185,189,Ollie Schniederjans,92,51.89,631,1216
186,190,Harris English,84,51.42,545,1060
187,191,J.B. Holmes,83,51.27,545,1063
188,192,Matt Every,76,48.41,473,977
189,193,Andrew Loupe,55,45.93,333,725
190,194,Steven Bowditch,59,45.37,348,767
