RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS
1,1,Byeong Hun An,80,0.631,38.504,61
2,2,Bud Cauley,82,0.577,42.673,74
3,3,Brandt Snedeker,102,0.48,38.408,80
4,4,Aaron Baddeley,55,0.46,19.309,42
5,8,Stephan Jaeger,77,0.365,20.783,57
6,6,Patrick Cantlay,77,0.356,20.291,57
7,10,Kevin Na,65,0.355,15.617,44
T8,11,Matt Jones,88,0.352,23.225,66
T8,T19,Justin Thomas,75,0.352,19.729,56
10,5,Adam Scott,63,0.351,15.457,44
11,12,Bill Haas,77,0.35,21.342,61
12,13,Hideki Matsuyama,91,0.347,25.337,73
13,14,Pat Perez,68,0.335,13.736,41
14,15,Patrick Reed,93,0.332,24.253,73
15,T19,Tommy Fleetwood,71,0.329,16.466,50
16,7,Charles Howell III,94,0.328,23.94,73
17,17,Jimmy Walker,74,0.322,18.36,57
18,21,Si Woo Kim,87,0.305,17.982,59
19,28,Rory McIlroy,72,0.297,16.939,57
20,16,Webb Simpson,81,0.294,20.269,69
T21,T22,Tyrrell Hatton,62,0.286,12.031,42
T21,T22,Cameron Smith,79,0.286,15.172,53
23,18,Sungjae Im,122,0.285,28.51,100
24,24,Ernie Els,51,0.282,8.454,30
25,25,Alex Noren,63,0.28,12.023,43
T26,T26,Rod Pampling,56,0.278,11.417,41
T26,T26,Branden Grace,76,0.278,12.511,45
28,9,Louis Oosthuizen,71,0.27,12.954,48
29,29,Ian Poulter,65,0.267,11.756,44
30,30,Rory Sabbatini,97,0.263,19.987,76
T31,T31,Sebastián Muñoz,86,0.261,16.708,64
T31,T31,Wyndham Clark,87,0.261,19.033,73
33,34,Adam Svensson,73,0.259,14.24,55
34,35,Kevin Tway,84,0.249,16.67,67
35,36,Jordan Spieth,82,0.246,16.26,66
T36,T37,Kramer Hickok,79,0.245,14.446,59
T36,T37,Brian Harman,91,0.245,17.377,71
38,T31,Dustin Johnson,73,0.234,13.098,56
39,40,Fabián Gómez,62,0.222,10.66,48
40,39,Xander Schauffele,77,0.211,11.199,53
41,41,Jonathan Byrd,55,0.205,7.375,36
42,42,Wes Roach,69,0.197,9.646,49
T43,T43,Kiradech Aphibarnrat,65,0.194,8.736,45
T43,T43,Matt Fitzpatrick,54,0.194,7.189,37
45,45,Brian Stuard,98,0.19,14.652,77
46,46,C.T. Pan,84,0.18,10.805,60
47,47,Scott Langley,78,0.179,11.465,64
48,49,Danny Willett,63,0.154,7.7,50
49,50,Michael Kim,61,0.15,6.772,45
T50,T51,Dylan Frittelli,83,0.149,10.152,68
T50,T51,Denny McCarthy,89,0.149,10.248,69
52,53,Seamus Power,80,0.147,9.095,62
53,48,Lucas Glover,94,0.145,11.722,81
54,T66,Marc Leishman,76,0.135,7.719,57
55,55,Harris English,97,0.134,10.559,79
T56,56,Shawn Stefani,80,0.133,8.276,62
T56,58,Paul Casey,79,0.133,7.329,55
T58,T59,José de Jesús Rodríguez,67,0.129,6.343,49
T58,T59,Russell Knox,79,0.129,7.596,59
60,61,Jason Dufner,74,0.124,7.063,57
61,62,Cameron Tringale,73,0.123,6.26,51
62,63,Robert Streb,80,0.122,7.316,60
63,54,Rickie Fowler,76,0.12,7.548,63
64,65,Jim Furyk,73,0.114,6.524,57
65,T66,Michael Thompson,71,0.113,7.352,65
66,68,Rafa Cabrera Bello,71,0.107,5.146,48
67,T69,Ryan Armour,92,0.106,7.924,75
T68,64,Matt Kuchar,87,0.105,6.925,66
T68,71,Francesco Molinari,61,0.105,4.396,42
70,72,Peter Malnati,87,0.097,7.362,76
71,73,Graeme McDowell,75,0.096,4.796,50
72,74,Zach Johnson,64,0.095,5.033,53
73,75,Phil Mickelson,63,0.094,4.721,50
74,76,Julián Etulain,70,0.091,4.653,51
75,77,Peter Uihlein,84,0.085,4.934,58
76,78,Hank Lebioda,76,0.081,4.693,58
77,79,Harold Varner III,84,0.076,5.625,74
78,T69,Jon Rahm,75,0.073,3.863,53
79,80,Scott Piercy,90,0.067,4.695,70
80,81,Brian Gay,93,0.065,4.708,72
T81,T82,Roberto Díaz,73,0.063,3.19,51
T81,T82,Martin Trainer,63,0.063,3.134,50
83,84,Andrew Putnam,81,0.061,3.4,56
84,T85,Kevin Streelman,83,0.058,3.991,69
85,87,Ryan Moore,74,0.055,3.476,63
86,T88,Tony Finau,89,0.048,3.094,65
87,T88,Troy Merritt,69,0.041,2.313,56
88,90,Nick Watney,87,0.04,2.74,69
89,91,Roberto Castro,76,0.039,2.395,62
T90,T92,J.T. Poston,100,0.038,3.363,88
T90,T92,Nick Taylor,97,0.038,3.267,86
T92,T85,Justin Rose,66,0.036,1.751,49
T92,101,Brooks Koepka,81,0.036,2.062,58
94,94,Chris Stroud,70,0.035,1.808,52
95,95,Jonas Blixt,82,0.034,2.187,64
96,96,Vaughn Taylor,93,0.032,2.656,82
T97,T97,Martin Laird,88,0.029,2.135,73
T97,T97,Patrick Rodgers,55,0.029,1.286,45
99,99,Aaron Wise,72,0.026,1.406,54
100,100,Jason Day,69,0.025,1.189,47
101,103,Brandon Harkins,91,0.019,1.287,69
102,104,Joaquin Niemann,98,0.018,1.401,80
103,105,Kyle Jones,72,0.016,0.848,54
104,106,Billy Horschel,99,0.014,0.977,69
105,107,J.B. Holmes,78,0.012,0.594,48
106,108,Henrik Stenson,58,0.01,0.414,42
107,119,Gary Woodland,87,0.008,0.532,65
T108,T110,Mackenzie Hughes,80,0.006,0.399,66
T108,T110,Ryan Blaum,90,0.006,0.403,72
T108,T110,Luke List,66,0.006,0.309,55
111,113,Dominic Bozzelli,73,0.005,0.238,49
112,114,J.J. Spaun,90,0.003,0.205,64
T113,115,Russell Henley,78,-0.005,-0.281,61
T113,102,Abraham Ancer,93,-0.005,-0.375,71
115,109,Bryson DeChambeau,75,-0.016,-1.072,66
116,116,Scott Stallings,82,-0.017,-1.182,68
T117,T117,Cam Davis,76,-0.021,-1.197,57
T117,T117,Nate Lashley,70,-0.021,-1.154,55
119,120,Ollie Schniederjans,77,-0.025,-1.495,61
120,121,Daniel Berger,70,-0.029,-1.688,59
121,122,Sergio Garcia,53,-0.051,-1.927,38
122,123,Carlos Ortiz,84,-0.06,-4.285,72
123,124,Kyle Stanley,81,-0.062,-3.383,55
124,125,Bubba Watson,65,-0.067,-3.351,50
125,126,Brady Schnell,53,-0.071,-2.778,39
126,127,Bronson Burgoon,59,-0.074,-3.481,47
127,128,Adam Schenk,102,-0.075,-6.154,82
128,129,Ben Silverman,70,-0.079,-4.413,56
T129,T130,Beau Hossler,87,-0.08,-5.431,68
T129,T130,Whee Kim,73,-0.08,-3.752,47
131,132,Sung Kang,86,-0.083,-5.802,70
132,134,Keith Mitchell,86,-0.102,-6.239,61
133,135,Talor Gooch,54,-0.104,-5.005,48
134,136,Roger Sloan,88,-0.105,-7.333,70
135,137,Anders Albertson,68,-0.113,-5.89,52
136,138,Richy Werenski,89,-0.114,-8.345,73
137,149,Chez Reavie,99,-0.117,-8.195,70
138,140,Patton Kizzire,76,-0.12,-6.337,53
139,139,Corey Conners,90,-0.123,-8.457,69
140,141,K.H. Lee,92,-0.124,-7.703,62
T141,T143,Danny Lee,83,-0.139,-10.005,72
T141,T143,Anirban Lahiri,73,-0.139,-8.221,59
143,145,Joey Garber,63,-0.14,-6.039,43
144,146,Keegan Bradley,89,-0.142,-9.525,67
145,147,Adam Long,76,-0.151,-10.277,68
146,148,Brice Garnett,87,-0.153,-9.951,65
147,150,Curtis Luck,65,-0.157,-6.891,44
148,151,Sam Ryder,76,-0.161,-9.642,60
149,152,Josh Teater,73,-0.162,-8.608,53
T150,T153,J.J. Henry,58,-0.163,-6.691,41
T150,T153,Tom Hoge,98,-0.163,-11.765,72
152,155,Freddie Jacobson,53,-0.178,-7.128,40
153,162,Kevin Kisner,97,-0.186,-13.214,71
154,156,Jhonattan Vegas,75,-0.19,-11.6,61
155,157,Sepp Straka,78,-0.191,-11.078,58
156,158,Cody Gribble,74,-0.193,-11.199,58
157,159,Scott Brown,86,-0.194,-13.182,68
158,160,Tyler Duncan,89,-0.197,-12.832,65
159,161,Joel Dahmen,100,-0.204,-15.509,76
160,163,Ryan Palmer,74,-0.216,-11.03,51
161,164,Adam Hadwin,86,-0.227,-14.096,62
162,165,Brendan Steele,68,-0.228,-11.647,51
163,166,Charley Hoffman,74,-0.23,-10.827,47
164,167,Hudson Swafford,59,-0.239,-11.216,47
165,172,Jason Kokrak,94,-0.241,-18.09,75
166,168,Andrew Landry,80,-0.244,-15.854,65
167,169,Sam Saunders,78,-0.247,-16.536,67
168,170,Chesson Hadley,76,-0.252,-15.128,60
169,171,Alex Cejka,58,-0.257,-10.284,40
170,173,Johnson Wagner,64,-0.268,-12.614,47
171,174,Kelly Kraft,87,-0.273,-17.773,65
172,175,Jim Knous,57,-0.275,-10.723,39
173,176,Trey Mullinax,77,-0.293,-18.458,63
174,177,Sangmoon Bae,60,-0.302,-12.088,40
T175,T178,Max Homa,82,-0.304,-21.008,69
T175,T178,Sam Burns,80,-0.304,-20.676,68
177,180,David Hearn,55,-0.309,-10.512,34
178,181,Chase Wright,75,-0.313,-17.836,57
179,182,Alex Prugh,77,-0.323,-18.418,57
180,183,Jim Herman,52,-0.325,-12.332,38
181,184,"Ted Potter, Jr.",73,-0.335,-20.076,60
182,185,Emiliano Grillo,85,-0.345,-18.996,55
T183,T186,John Chin,58,-0.366,-13.897,38
T183,T186,Seth Reeves,73,-0.366,-19.393,53
185,188,Austin Cook,68,-0.372,-19.739,53
186,190,Satoshi Kodaira,67,-0.414,-21.131,51
187,191,Hunter Mahan,59,-0.574,-26.998,47
188,192,Cameron Champ,78,-0.597,-40.617,68
