RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,1,Jon Rahm,58,1.823,103.92,76.597,27.326,57
2,4,Justin Thomas,66,1.709,99.147,100.966,-1.816,58
3,7,Xander Schauffele,70,1.605,97.935,75.582,22.355,61
4,3,Webb Simpson,52,1.597,81.422,51.369,30.056,51
5,2,Bryson DeChambeau,62,1.566,97.074,56.3,40.776,62
6,5,Daniel Berger,64,1.56,87.337,57.892,29.45,56
7,6,Harris English,76,1.467,99.728,64.479,35.253,68
8,8,Tyrrell Hatton,42,1.431,48.637,36.234,12.403,34
9,9,Dustin Johnson,49,1.409,66.209,53.489,12.722,47
10,12,Patrick Cantlay,46,1.316,57.911,48.274,9.642,44
11,11,Patrick Reed,74,1.295,84.154,45.219,38.938,65
T12,13,Rory McIlroy,60,1.243,63.401,67.021,-3.618,51
T12,10,Tony Finau,72,1.243,73.346,65.102,8.246,59
14,14,Collin Morikawa,80,1.231,87.387,94.436,-7.044,71
15,17,Scottie Scheffler,82,1.078,75.461,79.194,-3.73,70
16,15,Matt Fitzpatrick,54,1.067,46.946,8.206,38.741,44
17,16,Hideki Matsuyama,74,0.964,58.815,87.431,-28.613,61
18,20,Harold Varner III,74,0.93,53.002,65.238,-12.233,57
19,21,Adam Scott,38,0.905,27.16,19.092,8.071,30
20,19,Abraham Ancer,74,0.897,50.241,31.89,18.354,56
21,T24,Russell Henley,67,0.853,49.492,60.399,-10.902,58
22,26,Jason Day,53,0.843,33.734,25.11,8.625,40
23,T24,Viktor Hovland,74,0.789,45.755,48.533,-2.776,58
24,28,Cameron Tringale,63,0.788,41.784,37.224,4.562,53
25,27,Sungjae Im,94,0.784,61.938,43.558,18.384,79
26,29,Gary Woodland,62,0.783,41.495,23.504,17.994,53
27,18,Billy Horschel,79,0.771,45.507,20.528,24.983,59
28,31,Brian Harman,78,0.767,54.466,32.611,21.859,71
29,22,Kevin Kisner,73,0.757,42.409,11.128,31.283,56
30,32,Bubba Watson,66,0.711,40.541,36.913,3.63,57
31,33,Rickie Fowler,44,0.71,29.111,20.204,8.908,41
32,34,Brendan Steele,68,0.708,39.626,32.586,7.045,56
T33,37,Sebastián Muñoz,84,0.691,53.922,49.608,4.319,78
T33,23,Kevin Na,71,0.691,40.753,-0.126,40.883,59
35,36,Ian Poulter,48,0.689,26.165,0.072,26.094,38
36,38,Matt Kuchar,56,0.677,33.15,-0.498,33.651,49
37,40,Alex Noren,60,0.651,29.304,11.318,17.987,45
38,35,Lanto Griffin,96,0.64,51.194,24.357,26.841,80
39,41,Bud Cauley,65,0.638,36.994,33.979,3.019,58
40,42,Doc Redman,82,0.594,41.557,41.853,-0.293,70
41,43,Joel Dahmen,79,0.588,37.072,41.051,-3.975,63
42,44,Sergio Garcia,44,0.583,18.646,42.765,-24.118,32
43,45,Adam Hadwin,65,0.573,30.951,20.981,9.974,54
44,46,Cam Davis,62,0.56,25.779,25.57,0.211,46
45,47,Ryan Moore,48,0.559,18.993,17.889,1.107,34
46,48,Tommy Fleetwood,40,0.556,15.569,3.321,12.249,28
47,49,Adam Long,88,0.533,37.824,21.808,16.021,71
48,51,Mark Hubbard,86,0.508,37.057,6.907,30.154,73
49,39,Joaquin Niemann,76,0.502,32.649,48.36,-15.708,65
50,53,Matthew Wolff,74,0.491,30.947,23.223,7.727,63
51,54,Richy Werenski,60,0.484,23.715,-0.025,23.741,49
52,56,Denny McCarthy,81,0.469,30.503,-33.698,64.205,65
53,T57,Zach Johnson,61,0.466,25.142,5.24,19.906,54
54,59,Carlos Ortiz,72,0.458,29.78,23.59,6.195,65
T55,T60,J.T. Poston,78,0.431,27.139,-8.886,36.028,63
T55,T60,Paul Casey,56,0.431,18.958,35.818,-16.858,44
57,62,Talor Gooch,83,0.423,31.742,8.271,23.477,75
58,63,Brooks Koepka,40,0.42,15.97,24.924,-8.952,38
59,64,Kevin Streelman,73,0.414,23.596,28.4,-4.801,57
60,65,Corey Conners,74,0.405,25.086,62.462,-37.373,62
61,66,Tom Hoge,74,0.401,26.482,23.453,3.031,66
62,T57,Brendon Todd,86,0.397,29.765,-7.574,37.342,75
63,T69,Mackenzie Hughes,70,0.392,24.303,-17.905,42.211,62
64,52,Cameron Champ,70,0.39,23.782,34.324,-10.539,61
65,50,Ryan Palmer,68,0.387,22.834,38.869,-16.031,59
66,67,Patrick Rodgers,95,0.386,28.954,-20.326,49.285,75
67,68,Sepp Straka,70,0.368,22.832,7.207,15.627,62
68,T69,Jim Furyk,39,0.356,12.827,14.7,-1.869,36
69,72,Sam Burns,60,0.329,18.083,-4.396,22.482,55
70,73,James Hahn,36,0.327,8.828,11.073,-2.243,27
71,74,Brice Garnett,58,0.324,14.567,4.762,9.807,45
72,75,Shane Lowry,44,0.322,11.599,24.42,-12.819,36
73,76,Justin Rose,38,0.318,10.495,11.326,-0.83,33
74,78,Seamus Power,36,0.307,6.456,4.192,2.263,21
75,79,Adam Schenk,78,0.303,16.651,10.182,6.472,55
76,80,Luke List,69,0.301,17.777,47.52,-29.741,59
77,81,Charley Hoffman,63,0.3,14.384,10.302,4.087,48
78,82,Jason Kokrak,62,0.293,14.919,29.298,-14.376,51
79,83,Henrik Norlander,74,0.281,15.745,15.947,-0.201,56
T80,T84,Matthew NeSmith,72,0.279,15.063,8.586,6.479,54
T80,T84,Max Homa,70,0.279,15.913,7.952,7.965,57
82,86,Chez Reavie,77,0.278,15.868,32.454,-16.581,57
T83,T87,Nick Watney,46,0.276,9.953,5.213,4.743,36
T83,T87,Chesson Hadley,62,0.276,12.677,15.669,-2.989,46
T83,T87,Will Gordon,36,0.276,6.072,9.269,-3.197,22
86,90,Pat Perez,59,0.272,10.898,0.769,10.132,40
87,91,Bronson Burgoon,55,0.268,12.038,-4.296,16.336,45
88,92,Si Woo Kim,78,0.267,16.009,20.749,-4.736,60
89,93,Xinjun Zhang,77,0.26,15.331,10.182,5.153,59
90,94,Brian Stuard,83,0.252,16.096,8.81,7.289,64
91,95,Dylan Frittelli,82,0.245,16.655,24.23,-7.57,68
92,96,Maverick McNealy,80,0.244,14.137,-24.326,38.465,58
93,98,Scott Stallings,71,0.208,11.029,10.039,0.992,53
94,99,Chase Seiffert,56,0.196,7.066,-3.725,10.792,36
95,100,Brandt Snedeker,53,0.192,9.588,-7.765,17.357,50
96,101,Charles Howell III,69,0.177,8.848,-1.991,10.844,50
97,102,Phil Mickelson,51,0.147,5.567,8.737,-3.167,38
98,97,Cameron Smith,64,0.146,8.053,-7.371,15.427,55
99,103,Jordan Spieth,62,0.137,6.45,6.284,0.168,47
100,104,Cameron Percy,49,0.113,3.715,4.626,-0.909,33
101,105,Stewart Cink,51,0.101,4.566,-0.874,5.441,45
102,106,Lucas Glover,67,0.085,4.231,22.015,-17.783,50
103,107,Jhonattan Vegas,52,0.079,2.931,15.765,-12.83,37
104,108,Kyle Stanley,57,0.074,3.183,17.068,-13.882,43
105,109,Nick Taylor,59,0.073,3.642,5.81,-2.164,50
106,110,Rory Sabbatini,66,0.071,3.561,4.308,-0.743,50
107,111,Byeong Hun An,75,0.055,3.273,34.782,-31.506,60
108,112,Branden Grace,43,0.053,1.746,13.37,-11.623,33
109,113,Tyler Duncan,83,0.042,2.936,12.145,-9.207,70
110,114,Matt Wallace,44,0.031,1.252,0.179,1.073,40
111,115,Russell Knox,67,0.03,1.465,18.64,-17.172,49
112,117,Jason Dufner,62,0.004,0.243,38.404,-38.16,56
113,118,Sam Ryder,74,-0.013,-0.722,1.248,-1.966,56
114,119,Keegan Bradley,68,-0.045,-2.559,36.35,-38.906,57
115,120,Vaughn Taylor,61,-0.058,-2.554,-15.5,12.948,44
116,121,Louis Oosthuizen,48,-0.06,-2.399,-12.711,10.314,40
117,122,Tim Wilkinson,50,-0.065,-2.066,0.659,-2.724,32
118,123,Mark Anderson,51,-0.075,-2.775,-3.772,0.998,37
119,124,Aaron Baddeley,49,-0.081,-2.994,-12.477,9.487,37
120,125,Martin Laird,39,-0.082,-2.388,12.041,-14.427,29
121,126,Danny Lee,69,-0.088,-4.857,5.872,-10.725,55
122,128,Kris Ventura,48,-0.115,-3.207,-22.625,19.419,28
123,129,Chris Baker,53,-0.12,-3.945,11.341,-15.286,33
124,130,Robby Shelton,75,-0.121,-6.892,1.755,-8.643,57
125,131,Harry Higgs,83,-0.122,-8.444,-13.932,5.492,69
126,132,Matt Jones,76,-0.129,-8.245,-12.137,3.895,64
127,133,Austin Cook,64,-0.15,-7.202,-12.732,5.532,48
128,134,Peter Uihlein,47,-0.154,-5.093,-17.047,11.955,33
129,135,Troy Merritt,72,-0.166,-9.112,-34.977,25.869,55
130,136,Scott Piercy,66,-0.169,-8.474,2.156,-10.626,50
131,137,Michael Thompson,62,-0.173,-9.695,-19.83,10.137,56
T132,T138,Emiliano Grillo,69,-0.182,-8.745,34.711,-43.454,48
T132,T138,K.H. Lee,76,-0.182,-9.803,-4.293,-5.508,54
134,140,Ryan Armour,60,-0.193,-8.7,10.106,-18.804,45
135,141,Michael Gligic,52,-0.208,-7.086,-1.119,-5.966,34
136,127,Marc Leishman,61,-0.239,-12.432,1.067,-13.496,52
137,142,Fabián Gómez,59,-0.248,-9.672,-10.099,0.43,39
138,143,Keith Mitchell,64,-0.258,-12.875,-23.892,11.02,50
139,144,Ben Martin,38,-0.259,-5.688,-6.003,0.316,22
140,146,David Hearn,55,-0.281,-10.124,-14.455,4.332,36
141,147,Danny Willett,40,-0.289,-9.252,-16.911,7.659,32
142,148,Joseph Bramlett,57,-0.298,-11.628,-5.602,-6.026,39
143,149,Wyndham Clark,65,-0.302,-13.913,-39.516,25.606,46
144,150,Brandon Hagy,50,-0.311,-11.211,-16.979,5.769,36
145,151,Nate Lashley,52,-0.321,-14.46,-23.499,9.043,45
146,152,Bo Hoag,71,-0.332,-16.246,-22.232,5.988,49
147,153,Scott Harrington,68,-0.344,-18.592,-23.351,4.76,54
148,154,Scott Brown,64,-0.347,-17.325,-4.392,-12.932,50
149,155,Kevin Chappell,41,-0.364,-11.637,-17.974,6.339,32
150,156,Rob Oppenheim,65,-0.368,-16.573,5.893,-22.464,45
151,157,Aaron Wise,49,-0.369,-12.543,3.747,-16.288,34
152,158,Zack Sucher,38,-0.381,-9.151,-3.07,-6.083,24
153,159,Peter Malnati,61,-0.492,-23.139,-38.771,15.634,47
154,160,Beau Hossler,71,-0.499,-24.448,-46.789,22.344,49
155,161,Doug Ghim,44,-0.52,-14.546,-5.566,-8.979,28
156,163,Rafa Cabrera Bello,53,-0.524,-20.422,-23.038,2.616,39
157,164,Michael Gellerman,46,-0.525,-15.755,-21.587,5.833,30
158,165,Kramer Hickok,51,-0.53,-19.062,0.161,-19.222,36
159,166,Sung Kang,73,-0.532,-33.009,-13.977,-19.028,62
160,167,Andrew Landry,63,-0.536,-30.005,-10.886,-19.116,56
161,168,Chris Stroud,48,-0.577,-20.766,-22.868,2.104,36
162,169,Brian Gay,67,-0.578,-28.901,-35.37,6.473,50
163,170,D.J. Trahan,49,-0.581,-19.163,-4.074,-15.089,33
164,171,Ben Taylor,44,-0.584,-16.364,-16.313,-0.049,28
165,172,Roger Sloan,55,-0.6,-22.791,-20.519,-2.269,38
166,173,Patton Kizzire,55,-0.606,-28.493,-49.803,21.313,47
167,174,Hank Lebioda,57,-0.621,-25.444,-0.237,-25.205,41
168,175,J.J. Spaun,62,-0.66,-31.688,-25.784,-5.902,48
169,176,Anirban Lahiri,35,-0.674,-15.511,-10.412,-5.097,23
170,177,Grayson Murray,36,-0.691,-21.407,2.472,-23.877,31
171,178,Tyler McCumber,57,-0.725,-27.553,0.996,-28.548,38
172,179,Vincent Whaley,40,-0.745,-20.872,-28.629,7.757,28
173,180,Graeme McDowell,48,-0.788,-29.154,-20.953,-8.198,37
174,181,Josh Teater,43,-0.793,-21.402,0.186,-21.589,27
175,182,Zac Blair,70,-0.809,-40.462,-45.623,5.163,50
176,183,Ryan Brehm,52,-0.821,-26.259,-8.743,-17.514,32
177,184,Jimmy Walker,46,-0.846,-34.675,-20.355,-14.318,41
178,185,C.T. Pan,56,-0.852,-36.65,-3.658,-32.99,43
179,186,Rhein Gibson,54,-0.87,-29.591,-44.293,14.703,34
180,187,"Ted Potter, Jr.",46,-0.883,-30.018,-14.117,-15.9,34
181,188,Jim Herman,60,-0.901,-46.834,-34.328,-12.504,52
182,189,Dominic Bozzelli,38,-0.963,-23.103,-35.106,12.003,24
183,190,Arjun Atwal,35,-1.002,-20.042,-9.089,-10.953,20
184,191,Kevin Tway,52,-1.013,-35.454,-23.24,-12.211,35
185,192,Andrew Putnam,46,-1.021,-32.657,-59.58,26.925,32
186,193,Wes Roach,42,-1.056,-23.228,-12.126,-11.103,22
187,194,Bill Haas,46,-1.064,-36.167,0.153,-36.32,34
188,195,Sebastian Cappelen,55,-1.09,-38.165,-40.076,1.912,35
189,196,Robert Streb,54,-1.155,-36.968,-18.625,-18.343,32
190,197,Matt Every,47,-1.766,-72.388,-46.316,-26.07,41
191,198,Nelson Ledesma,42,-1.835,-44.037,-42.547,-1.49,24
192,200,Bo Van Pelt,45,-2.46,-76.245,-51.962,-24.281,31
193,201,Martin Trainer,48,-3.454,-134.688,-122.028,-12.658,39
